agno, mes, dia, valor
1971,05,12,279.00000
1971,05,13,272.00000
1971,05,14,279.00000
1971,05,15,280.00000
1971,05,16,298.00000
1971,05,17,363.00000
1971,05,18,714.00000
1971,05,19,1927.00000
1971,05,20,3766.00000
1971,05,21,3620.00000
1971,05,22,2516.00000
1971,05,23,3315.00000
1971,05,24,2696.00000
1971,05,25,2015.00000
1971,05,26,1599.00000
1971,05,27,1300.00000
1971,05,28,1120.00000
1971,05,29,1009.00000
1971,05,30,934.00000
1971,05,31,878.00000
1971,06,01,845.00000
1971,06,02,826.00000
1971,06,03,867.00000
1971,06,04,840.00000
1971,06,05,788.00000
1971,06,06,751.00000
1971,06,07,714.00000
1971,06,08,699.00000
1971,06,09,698.00000
1971,06,10,761.00000
1971,06,11,731.00000
1971,06,12,673.00000
1971,06,13,649.00000
1971,06,14,652.00000
1971,06,15,649.00000
1971,06,16,619.00000
1971,06,17,596.00000
1971,06,18,639.00000
1971,06,19,686.00000
1971,06,20,865.00000
1971,06,21,878.00000
1971,06,22,863.00000
1971,06,23,779.00000
1971,06,24,791.00000
1971,06,25,999.00000
1971,06,26,1255.00000
1971,06,27,1193.00000
1971,06,28,1642.00000
1971,06,29,2637.00000
1971,06,30,3239.00000
1971,07,01,2691.00000
1971,07,02,2027.00000
1971,07,03,2182.00000
1971,07,04,1983.00000
1971,07,05,1614.00000
1971,07,06,1451.00000
1971,07,07,1381.00000
1971,07,08,1266.00000
1971,07,09,1218.00000
1971,07,10,1758.00000
1971,07,11,1690.00000
1971,07,12,1523.00000
1971,07,13,1554.00000
1971,07,14,1498.00000
1971,07,15,1442.00000
1971,07,16,1495.00000
1971,07,17,1439.00000
1971,07,18,1342.00000
1971,07,19,1478.00000
1971,07,20,3621.00000
1971,07,21,5476.00000
1971,07,22,4906.00000
1971,07,23,3763.00000
1971,07,24,3182.00000
1971,07,25,2627.00000
1971,07,26,2447.00000
1971,07,27,2826.00000
1971,07,28,2606.00000
1971,07,29,2295.00000
1971,07,30,2723.00000
1971,07,31,2596.00000
1971,08,01,2616.00000
1971,08,02,2543.00000
1971,08,03,4024.00000
1971,08,04,3359.00000
1971,08,05,2657.00000
1971,08,06,2299.00000
1971,08,07,2060.00000
1971,08,08,1897.00000
1971,08,09,1766.00000
1971,08,10,1778.00000
1971,08,11,1803.00000
1971,08,12,1820.00000
1971,08,13,1803.00000
1971,08,14,1656.00000
1971,08,15,1550.00000
1971,08,16,1471.00000
1971,08,17,1452.00000
1971,08,18,1430.00000
1971,08,19,1564.00000
1971,08,20,1794.00000
1971,08,21,1660.00000
1971,08,22,1598.00000
1971,08,23,1800.00000
1971,08,24,1767.00000
1971,08,25,1528.00000
1971,08,26,1415.00000
1971,08,27,1358.00000
1971,08,28,1318.00000
1971,08,29,1254.00000
1971,08,30,1210.00000
1971,08,31,1169.00000
1971,09,01,1171.00000
1971,09,02,1161.00000
1971,09,03,1306.00000
1971,09,04,1284.00000
1971,09,05,1204.00000
1971,09,06,1188.00000
1971,09,07,1284.00000
1971,09,08,1376.00000
1971,09,09,1281.00000
1971,09,10,1249.00000
1971,09,11,1259.00000
1971,09,12,1354.00000
1971,09,13,1294.00000
1971,09,14,1364.00000
1971,09,15,1490.00000
1971,09,16,1519.00000
1971,09,17,1450.00000
1971,09,18,1367.00000
1971,09,19,1300.00000
1971,09,20,1228.00000
1971,09,21,1175.00000
1971,09,22,1138.00000
1971,09,23,1099.00000
1971,09,24,1059.00000
1971,09,25,1021.00000
1971,09,26,987.00000
1971,09,27,964.00000
1971,09,28,924.00000
1971,09,29,939.00000
1971,09,30,967.00000
1971,10,01,1012.00000
1971,10,02,1024.00000
1971,10,03,1128.00000
1971,10,04,1073.00000
1971,10,05,999.00000
1971,10,06,984.00000
1971,10,07,973.00000
1971,10,08,1067.00000
1971,10,09,1053.00000
1971,10,10,1066.00000
1971,10,11,1094.00000
1971,10,12,1010.00000
1971,10,13,971.00000
1971,10,14,949.00000
1971,10,15,960.00000
1971,10,16,1009.00000
1971,10,17,991.00000
1971,10,18,980.00000
1971,10,19,1015.00000
1971,10,20,1079.00000
1971,10,21,1103.00000
1971,10,22,1085.00000
1971,10,23,1092.00000
1971,10,24,1113.00000
1971,10,25,1122.00000
1971,10,26,1190.00000
1971,10,27,1351.00000
1971,10,28,1415.00000
1971,10,29,1346.00000
1971,10,30,1313.00000
1971,10,31,1249.00000
1971,11,01,1222.00000
1971,11,02,1196.00000
1971,11,03,1169.00000
1971,11,04,1144.00000
1971,11,05,1076.00000
1971,11,06,1036.00000
1971,11,07,1024.00000
1971,11,08,969.00000
1971,11,09,947.00000
1971,11,10,940.00000
1971,11,11,923.00000
1971,11,12,1016.00000
1971,11,13,1103.00000
1971,11,14,992.00000
1971,11,15,951.00000
1971,11,16,935.00000
1971,11,17,930.00000
1971,11,18,944.00000
1971,11,19,872.00000
1971,11,20,810.00000
1971,11,21,793.00000
1971,11,22,798.00000
1971,11,23,794.00000
1971,11,24,801.00000
1971,11,25,757.00000
1971,11,26,710.00000
1971,11,27,676.00000
1971,11,28,661.00000
1971,11,29,664.00000
1971,11,30,661.00000
1971,12,01,646.00000
1971,12,02,621.00000
1971,12,03,627.00000
1971,12,04,715.00000
1971,12,05,655.00000
1971,12,06,553.00000
1971,12,07,510.00000
1971,12,08,498.00000
1971,12,09,484.00000
1971,12,10,482.00000
1971,12,11,515.00000
1971,12,12,524.00000
1971,12,13,515.00000
1971,12,14,494.00000
1971,12,15,470.00000
1971,12,16,439.00000
1971,12,17,428.00000
1971,12,18,444.00000
1971,12,19,639.00000
1971,12,20,1173.00000
1971,12,21,1693.00000
1971,12,22,1413.00000
1971,12,23,1148.00000
1971,12,24,1046.00000
1971,12,25,994.00000
1971,12,26,929.00000
1971,12,27,865.00000
1971,12,28,806.00000
1971,12,29,752.00000
1971,12,30,705.00000
1971,12,31,676.00000
1972,01,01,640.00000
1972,01,02,599.00000
1972,01,03,566.00000
1972,01,04,544.00000
1972,01,05,503.00000
1972,01,06,485.00000
1972,01,07,445.00000
1972,01,08,419.00000
1972,01,09,418.00000
1972,01,10,397.00000
1972,01,11,377.00000
1972,01,12,348.00000
1972,01,13,334.00000
1972,01,14,331.00000
1972,01,15,335.00000
1972,01,16,447.00000
1972,01,17,761.00000
1972,01,18,620.00000
1972,01,19,488.00000
1972,01,20,423.00000
1972,01,21,367.00000
1972,01,22,323.00000
1972,01,23,298.00000
1972,01,24,283.00000
1972,01,25,254.00000
1972,01,26,256.00000
1972,01,27,259.00000
1972,01,28,245.00000
1972,01,29,228.00000
1972,01,30,249.00000
1972,01,31,256.00000
1972,02,01,351.00000
1972,02,02,699.00000
1972,02,03,508.00000
1972,02,04,396.00000
1972,02,05,339.00000
1972,02,06,315.00000
1972,02,07,294.00000
1972,02,08,285.00000
1972,02,09,262.00000
1972,02,10,248.00000
1972,02,11,248.00000
1972,02,12,246.00000
1972,02,13,230.00000
1972,02,14,225.00000
1972,02,15,260.00000
1972,02,16,240.00000
1972,02,17,229.00000
1972,02,18,220.00000
1972,02,19,213.00000
1972,02,20,217.00000
1972,02,21,204.00000
1972,02,22,202.00000
1972,02,23,198.00000
1972,02,24,197.00000
1972,02,25,194.00000
1972,02,26,197.00000
1972,02,27,201.00000
1972,02,28,192.00000
1972,02,29,185.00000
1972,03,01,173.00000
1972,03,02,170.00000
1972,03,03,174.00000
1972,03,04,170.00000
1972,03,05,168.00000
1972,03,06,156.00000
1972,03,07,167.00000
1972,03,08,167.00000
1972,03,09,159.00000
1972,03,10,180.00000
1972,03,11,174.00000
1972,03,12,183.00000
1972,03,13,169.00000
1972,03,14,166.00000
1972,03,15,175.00000
1972,03,16,212.00000
1972,03,17,223.00000
1972,03,18,298.00000
1972,03,19,466.00000
1972,03,20,364.00000
1972,03,21,313.00000
1972,03,22,290.00000
1972,03,23,362.00000
1972,03,24,546.00000
1972,03,25,482.00000
1972,03,26,390.00000
1972,03,27,329.00000
1972,03,28,309.00000
1972,03,29,296.00000
1972,03,30,298.00000
1972,03,31,293.00000
1972,04,01,283.00000
1972,04,02,269.00000
1972,04,03,260.00000
1972,04,04,259.00000
1972,04,05,337.00000
1972,04,06,329.00000
1972,04,07,292.00000
1972,04,08,276.00000
1972,04,09,273.00000
1972,04,10,265.00000
1972,04,11,237.00000
1972,04,12,239.00000
1972,04,13,263.00000
1972,04,14,294.00000
1972,04,15,335.00000
1972,04,16,338.00000
1972,04,17,308.00000
1972,04,18,282.00000
1972,04,19,278.00000
1972,04,20,277.00000
1972,04,21,276.00000
1972,04,22,275.00000
1972,04,23,267.00000
1972,04,24,279.00000
1972,04,25,312.00000
1972,04,26,300.00000
1972,04,27,276.00000
1972,04,28,283.00000
1972,04,29,279.00000
1972,04,30,281.00000
1972,05,01,276.00000
1972,05,02,263.00000
1972,05,03,253.00000
1972,05,04,261.00000
1972,05,05,319.00000
1972,05,06,341.00000
1972,05,07,472.00000
1972,05,08,1154.00000
1972,05,09,1880.00000
1972,05,10,1228.00000
1972,05,11,1031.00000
1972,05,12,979.00000
1972,05,13,880.00000
1972,05,14,811.00000
1972,05,15,813.00000
1972,05,16,1553.00000
1972,05,17,2178.00000
1972,05,18,1593.00000
1972,05,19,1281.00000
1972,05,20,1114.00000
1972,05,21,1048.00000
1972,05,22,1156.00000
1972,05,23,1222.00000
1972,05,24,1543.00000
1972,05,25,1618.00000
1972,05,26,2281.00000
1972,05,27,2447.00000
1972,05,28,6235.00000
1972,05,29,12283.00000
1972,05,30,9697.00000
1972,05,31,7096.00000
1972,06,01,5924.00000
1972,06,02,4035.00000
1972,06,03,2911.00000
1972,06,04,2407.00000
1972,06,05,2623.00000
1972,06,06,2854.00000
1972,06,07,4155.00000
1972,06,08,4925.00000
1972,06,09,3436.00000
1972,06,10,2658.00000
1972,06,11,2442.00000
1972,06,12,3059.00000
1972,06,13,3084.00000
1972,06,14,4387.00000
1972,06,15,4696.00000
1972,06,16,3538.00000
1972,06,17,2851.00000
1972,06,18,2460.00000
1972,06,19,2327.00000
1972,06,20,2001.00000
1972,06,21,1834.00000
1972,06,22,1732.00000
1972,06,23,1799.00000
1972,06,24,1889.00000
1972,06,25,1676.00000
1972,06,26,2138.00000
1972,06,27,1881.00000
1972,06,28,1629.00000
1972,06,29,1465.00000
1972,06,30,1348.00000
1972,07,01,1260.00000
1972,07,02,1201.00000
1972,07,03,1153.00000
1972,07,04,1152.00000
1972,07,05,1353.00000
1972,07,06,3086.00000
1972,07,07,2334.00000
1972,07,08,1848.00000
1972,07,09,1604.00000
1972,07,10,1462.00000
1972,07,11,1354.00000
1972,07,12,1302.00000
1972,07,13,1560.00000
1972,07,14,1616.00000
1972,07,15,1522.00000
1972,07,16,1452.00000
1972,07,17,1322.00000
1972,07,18,1226.00000
